date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:15:13	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2014%20Jun%202023%2007:15:12%20GMT	https://next-gen.webflow.io/games/horror	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/horror	(from https://next-gen.webflow.io/games/shooter)
03:15:13	0/-1	---M--	502	error ('')			https://next-gen.webflow.io/games/strategy	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/strategy	(from https://next-gen.webflow.io/games/shooter)
03:15:13	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2014%20Jun%202023%2007:15:13%20GMT	https://next-gen.webflow.io/games/indie-platformer	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/indie-platformer	(from https://next-gen.webflow.io/games/shooter)
03:15:13	0/-1	---M--	502	error ('')			https://next-gen.webflow.io/games/mobile	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/mobile	(from https://next-gen.webflow.io/games/shooter)
03:15:26	0/-1	---M--	502	error ('')			https://next-gen.webflow.io/games/rpg	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/rpg	(from https://next-gen.webflow.io/games/shooter)
03:15:36	0/-1	---M--	502	error ('')			https://next-gen.webflow.io/games/survival	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/survival	(from https://next-gen.webflow.io/games/shooter)
03:15:36	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2014%20Jun%202023%2007:15:36%20GMT	https://next-gen.webflow.io/games/%22https://uploads-ssl.webflow.com/5f4233ab79710a22c47dc3b8/5fac0d3f09d6e7e917ac575a_space-4163612_1920.jpg%22	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/_https_/uploads-ssl.webflow.com/5f4233ab79710a22c47dc3b8/5fac0d3f09d6e7e917ac575a_space-4163612_1920.jpg_	(from https://next-gen.webflow.io/games/moba)
03:15:37	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2014%20Jun%202023%2007:15:36%20GMT	https://next-gen.webflow.io/games/%22https://uploads-ssl.webflow.com/5f4233ab79710a22c47dc3b8/5fac0bea035e22b21f3031ea_scifi-3617337_1920.jpg%22	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/_https_/uploads-ssl.webflow.com/5f4233ab79710a22c47dc3b8/5fac0bea035e22b21f3031ea_scifi-3617337_1920.jpg_	(from https://next-gen.webflow.io/games/moba)
03:15:38	0/-1	---M--	502	error ('')			https://next-gen.webflow.io/games/racing	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/racing	(from https://next-gen.webflow.io/games/shooter)
03:15:38	0/-1	---M--	502	error ('')			https://next-gen.webflow.io/games/strategy	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/strategy	(from https://next-gen.webflow.io/games/shooter)
03:15:38	0/-1	---M--	502	error ('')			https://next-gen.webflow.io/games/mobile	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/mobile	(from https://next-gen.webflow.io/games/shooter)
03:15:45	0/-1	---M--	502	error ('')			https://next-gen.webflow.io/games/%22https://uploads-ssl.webflow.com/5f4233ab79710a22c47dc3b8/5fac0bf7a5124b27b1bfe7a2_wizard-5091194_1920.jpg%22	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/_https_/uploads-ssl.webflow.com/5f4233ab79710a22c47dc3b8/5fac0bf7a5124b27b1bfe7a2_wizard-5091194_1920.jpg_	(from https://next-gen.webflow.io/games/moba)
03:15:46	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2014%20Jun%202023%2007:15:46%20GMT	https://next-gen.webflow.io/games/%22https://uploads-ssl.webflow.com/5f4233ab79710a22c47dc3b8/5fac0d3f09d6e7e917ac575a_space-4163612_1920.jpg%22	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/_https_/uploads-ssl.webflow.com/5f4233ab79710a22c47dc3b8/5fac0d3f09d6e7e917ac575a_space-4163612_1920.jpg_	(from https://next-gen.webflow.io/games/moba)
03:15:47	0/-1	---M--	502	error ('')			https://next-gen.webflow.io/games/%22https://uploads-ssl.webflow.com/5f4233ab79710a22c47dc3b8/5fac0bf7a5124b27b1bfe7a2_wizard-5091194_1920.jpg%22	C:/My%20Web%20Sites/Shooter/next-gen.webflow.io/games/_https_/uploads-ssl.webflow.com/5f4233ab79710a22c47dc3b8/5fac0bf7a5124b27b1bfe7a2_wizard-5091194_1920.jpg_	(from https://next-gen.webflow.io/games/moba)
